,情感倾向,好评,中评,差评,总评论数,有图
宏村,0.8222047125943863,2847.0,244.0,50.0,3141.0,1151.0
黄山风景区,0.8762933850265944,3550.0,104.0,78.0,3732.0,1038.0
徽州古城,0.5282148477771671,335.0,116.0,47.0,498.0,159.0
西递,0.7890657007960882,936.0,99.0,24.0,1059.0,266.0
西海大峡谷,0.8426534740598828,1496.0,53.0,13.0,1562.0,392.0
八达岭长城,0.7117328172241606,7085.0,824.0,179.0,8088.0,1541.0
故宫,0.8659692868659868,11635.0,833.0,133.0,12601.0,2551.0
天安门广场,0.7803189084136597,9368.0,1088.0,169.0,10625.0,1702.0
天坛公园,0.7988003057780858,4440.0,550.0,62.0,5052.0,1163.0
颐和园,0.8330230445326698,7069.0,555.0,61.0,7685.0,1527.0
华清宫,0.7461011364837705,2968.0,1042.0,262.0,4272.0,1350.0
华山,0.6226295552701724,3226.0,94.0,49.0,3369.0,1174.0
秦始皇兵马俑博物馆,0.7662404606714427,9044.0,716.0,119.0,9879.0,3324.0
陕西历史博物馆,0.8170134841427196,5942.0,311.0,78.0,6331.0,2275.0
西安长城,0.7217185197347171,6526.0,635.0,86.0,7246.0,2312.0
